Keyword,VendorCode,VendorName,Email To,Email CC,ProcessCDs,RoundMOQ,MOQFile,Combine,ItemPrefix,PreCDLeadTime
WEIDA,10861,"WEIDA (VIETNAM) MANUFACTURING CO.,LTD",ally@shbaicheng.com.cn; sales10@shbaicheng.com.cn; sales7@shbaicheng.com.cn; sales12@shbaicheng.com.cn; sales13@shbaicheng.com.cn; hsl@weidapeacock.com; ryhh@weidapeacock.com; wsmf@weidapeacock.com; amy@weidapeacock.com; cxg@weidapeacock.com; lhl@weidapeacock.com; Sales16@shbaicheng.com.cn;lhl@weidapeacock.com; ruanshihua@shbaicheng.com.cn; lucas.liu@ttigroup.com;thingocquyen.pham@ttigroup.com.vn; ryhh@weidapeacock.com; lhl@weidapeacock.com; ryhn@weidapeacock.com; ThiThuHang.Truong@ttigroup.com.vn; fgx@weidapeacock.com; luna@weidapeacock.com; NgocHuyen.An@ttigroup.com.vn; ThiMaiHuong.Le@ttigroup.com.vn; yonna@weidapeacock.com;,ThiThuyLan.Vu@ttigroup.com.vn; Zach.Hartman@ttigroup.com.vn; ThiThuHuong.Phan@ttigroup.com.vn; NgocThanhTran.Nguyen@ttigroup.com.vn;  NgocDung.Bui@ttigroup.com.vn; NgocTuyen.Le@ttigroup.com.vn;,TRUE,FALSE,,FALSE,,2:7;7:7;6:12
TALWAY,12225,TALWAY VIET NAM COMPANY LIMITED, s504@guangwei-china.com; s19@guangwei-china.com; s20@guangwei-china.com; s501@guangwei-china.com; 985@guangwei-china.com; HoangDien.Le@ttigroup.com.vn; Hannah.Tran@ttigroup.com.vn;, NgocTuyen.Le@ttigroup.com.vn; ThiTrang.Dong@ttigroup.com.vn;,TRUE,FALSE,,FALSE,,16
GREEN,9340,"GREEN (VIET NAM) CO., LTD",green.xanhxanh1@gmail.com; green.xanhxanh3@gmail.com; greencords.xanhxanh@gmail.com; amy@greencords.com;HoangDien.Le@ttigroup.com.vn; Hannah.Tran@ttigroup.com.vn;,NgocTuyen.Le@ttigroup.com.vn; ThiTrang.Dong@ttigroup.com.vn;,TRUE,FALSE,,FALSE,,8
YAO-I,9781,YAO-I VIETNAM COMPANY LIMITED,taoshuxian@yaoi.com.vn; yiv-shipping4@yaoi.com.vn; yiv-sales@yaoi.com.vn;yinina@yaoi.com.tw;nancy@yaoi.com.vn;,tan.tran@ttigroup.com.vn; S.Gao@ttigroup.com; NgocTuyen.Le@ttigroup.com.vn; thihien.tran02@ttigroup.com.vn;,TRUE,TRUE,,FALSE,,12
XIAN HUA,10603,XIAN HUA VIET NAM INDUSTRIAL COMPANY LIMITED,15121524888@163.com; sales@mengfamotor.com; zhongzhuanming@163.com; ThiQuynhNhu.Nguyen@ttigroup.com.vn;  libby@dgxianhua.net; zhengchaoquan8888@163.com; 15121524888@163.com; lucy_he@dgxianhua.net; nicolefeng@mengfamotor.com; ,Yuki.He@ttigroup.com; giahue.tran@ttigroup.com.vn;serena.xie@ttigroup.com; ThiHiep.Vu@ttigroup.com.vn; Bryant.Mu@ttigroup.com; Katelyn.Li@ttigroup.com; NgocTuyen.Le@ttigroup.com.vn;,TRUE,FALSE,,FALSE,,12
SHANGHU;VN SHANGHU;VIETNAM SHANGHU,13316,VIETNAM SHANGHU ELECTRONICS COMPANY LIMITED,sh_steven@126.com; yqhu168@126.com; hoangtam.k6.tcnh@gmail.com; shanghuvietnam@gmail.com; Hannah.Tran@ttigroup.com.vn;,NgocTuyen.Le@ttigroup.com.vn; ThiTrang.Dong@ttigroup.com.vn;,TRUE,FALSE,,FALSE,,16
NEW SUN,13313,NEW SUN VIET NAM TECHNOLOGY COMPANY LIMITED,linh.duong@newsunvn.com; thuy.le@newsunvn.com;,NgocTuyen.Le@ttigroup.com.vn; ,TRUE,FALSE,,FALSE,,12
YU XIN,12259,YU XIN VIET NAM COMPANY LIMITED,han@chinayuxin.cn; sales@shanyuan.hk; seanding@shanyuan.hk; ming@shanyuan.hk; vituong0523@gmail.com; lethinhuhao1010@gmail.com;,NgocTuyen.Le@ttigroup.com.vn; Tan.Tran@ttigroup.com.vn; Nhi.Trinh@ttigroup.com.vn; ThiThuHang.Truong@ttigroup.com.vn; Ly.Truong@ttigroup.com.vn,TRUE,FALSE,,FALSE,,8
KHGEAR;KHGEARS,11500,KHGEARS VIETNAM COMPANY LIMITED,tuan.nguyen@khgears.com;danny.nguyen@khgears.com;sunnytang@khgears.com; ThiThuThuy.Nguyen01@ttigroup.com.vn;  Helen.Yang@ttigroup.com;  ThiKimDung.Le@ttigroup.com.vn;,NgocTuyen.Le@ttigroup.com.vn;,TRUE,FALSE,,FALSE,,12
MAGNET,13553,CONG TY TNHH MAGNET JC (VIET NAM),frank@idealmagnetsolutions.com;zhangzeqing@bjmt.com.cn;liyunhua@bjmt.com.cn;itrustcorp.vn@gmail.com; xiongyanqiu@bjmt.com.cn; ruanshie@bjmt.com.cn,NgocTuyen.Le@ttigroup.com.vn;thihiep.vu@ttigroup.com.vn;John.Krendel@ttigroup.com.vn;HoangAnh.Truong@ttigroup.com.vn,TRUE,FALSE,,FALSE,,16
