Item	Full carton qty	
900849002	 2,000 	PCS 
900849012	 2,000 	PCS 
900849001	 2,000 	PCS 
900201022	 30 	LB
900201021	 30 	LB
900201012	 4,400 	M
522518003	 300 	PCS 
524559001	 300 	PCS 
524558003	 300 	PCS 
518003021	 1,000 	PCS 
521502002	 300 	PCS 
522520002	 300 	PCS 
522519001	 300 	PCS 
522519002	 300 	PCS 
522519003	 300 	PCS 
522519004	 300 	PCS 
522519005	 300 	PCS 
522518002	 200 	PCS 
525476003	 300 	PCS 
525476001	 300 	PCS 
525476002	 300 	PCS 
525476008	 200 	PCS 
528476001	 300 	PCS 
528414001	 300 	PCS 
526981001	 1,000 	PCS 
525476004	 300 	PCS 
525476005	 300 	PCS 
524557002	 200 	PCS 
518402003	 300 	PCS 
518005006	 300 	PCS 
525476010	 300 	PCS 
529657001	 300 	PCS 
526981003	 300 	PCS 
531184003	 1,000 	PCS 
521502003	 1,000 	PCS 
524559003	 300 	PCS 
526981005	 300 	PCS 
525476006	 300 	PCS 
525476011	 300 	PCS 
525476012	 200 	PCS 
526291002	 300 	PCS 
522519006	 300 	PCS 
524559004	 300 	PCS 
524559005	 300 	PCS 
522519007	 300 	PCS 
534172001	 300 	PCS 
539425001	 300 	PCS 
537290001	 300 	PCS 
525476013	 200 	PCS 
524559010	 300 	PCS 
542477001	 300 	PCS 
525476015	 300 	PCS 
535564001	 200 	PCS 
535562001	 200 	PCS 
524557001	 200 	PCS 
525476018	 300 	PCS 
535554008	 1,000 	PCS 
525476016	 300 	PCS 
542477004	 300 	PCS 
525476017	 300 	PCS 
900201011	 6,000 	PCS
900890002	 4,000 	PCS
900880002	 3,000 	PCS
525476025	 300 	PCS 
525476026	 300 	PCS 
525476022	 300 	PCS 
525476023	 300 	PCS 
